미세먼지(PM10) 배출량 (단위 : kg ),,
시도별,기간,배출원대분류 합계(kg)
2010년,서울특별시,1937900
2010년,부산광역시,3091857
2010년,대구광역시,1268610
2010년,인천광역시,2303421
2010년,광주광역시,442956
2010년,대전광역시,551933
2010년,울산광역시,7107691
2010년,세종특별자치시,0
2010년,경기도,6383771
2010년,강원도,36611592
2010년,충청북도,5102566
2010년,충청남도,4445969
2010년,전라북도,3925211
2010년,전라남도,24085449
2010년,경상북도,15848145
2010년,경상남도,3244278
2010년,제주도,456172
2010년,전국,116807521
2011년,서울특별시,1742412
2011년,부산광역시,3147418
2011년,대구광역시,1240074
2011년,인천광역시,2252258
2011년,광주광역시,435988
2011년,대전광역시,594323
2011년,울산광역시,3085233
2011년,세종특별자치시,0
2011년,경기도,5834489
2011년,강원도,46124596
2011년,충청북도,5026219
2011년,충청남도,5312371
2011년,전라북도,3510472
2011년,전라남도,29662943
2011년,경상북도,18309396
2011년,경상남도,4299430
2011년,제주도,598643
2011년,전국,131176265
2012년,서울특별시,1727467
2012년,부산광역시,3130999
2012년,대구광역시,1360634
2012년,인천광역시,2040649
2012년,광주광역시,494176
2012년,대전광역시,497477
2012년,울산광역시,3508598
2012년,세종특별자치시,343497
2012년,경기도,6044292
2012년,강원도,3870709
2012년,충청북도,3603222
2012년,충청남도,30818484
2012년,전라북도,1720531
2012년,전라남도,18358930
2012년,경상북도,32859491
2012년,경상남도,9131563
2012년,제주도,469759
2012년,전국,119980478
2013년,서울특별시,1735385
2013년,부산광역시,2994853
2013년,대구광역시,1310367
2013년,인천광역시,2037217
2013년,광주광역시,463011
2013년,대전광역시,494369
2013년,울산광역시,3602200
2013년,세종특별자치시,343000
2013년,경기도,6433026
2013년,강원도,3490744
2013년,충청북도,3164288
2013년,충청남도,30976065
2013년,전라북도,1623650
2013년,전라남도,20508212
2013년,경상북도,33090771
2013년,경상남도,8784603
2013년,제주도,511456
2013년,전국,121563217
2014년,서울특별시,1423732
2014년,부산광역시,2222972
2014년,대구광역시,2532341
2014년,인천광역시,1727295
2014년,광주광역시,353642
2014년,대전광역시,384483
2014년,울산광역시,3668532
2014년,세종특별자치시,145263
2014년,경기도,6762940
2014년,강원도,5690513
2014년,충청북도,4668506
2014년,충청남도,13975687
2014년,전라북도,1357233
2014년,전라남도,23844273
2014년,경상북도,22761254
2014년,경상남도,3051603
2014년,제주도,449284
2014년,전국,95019553
2015년,서울특별시,9162575
2015년,부산광역시,6606778
2015년,대구광역시,3938881
2015년,인천광역시,8291521
2015년,광주광역시,1871922
2015년,대전광역시,1912129
2015년,울산광역시,5910018
2015년,세종특별자치시,1378788
2015년,경기도,33148220
2015년,강원도,11869292
2015년,충청북도,11015612
2015년,충청남도,28649591
2015년,전라북도,9876711
2015년,전라남도,33854363
2015년,경상북도,44264566
2015년,경상남도,14786168
2015년,제주도,3584078
2015년,전국,230121213
